from,to,count
AFG,PAK,1
ANG,BUI,1
CEN,CON,1
KEN,DRC,1
KEN,ETH,1
RWA,SUD,1
RWA,UGA,1
ARG,GBR,2
AZE,ARM,24
CMR,NGA,2
TCD,LBY,1
TCD,SDN,6
CHN,IND,5
CHN,RUS,7
CHN,KZH,1
PRK,KOR,3
PRK,USA,3
MNG,RUS,1
RUS,CHN,1
COL,VEN,1
NIC,SLV,1
COD,RWA,1
DJI,ERI,1
ECU,PER,14
ERI,SDN,1
ERI,ETH,8
ERI,SOM,1
SOM,ETH,1
FRN,GMY,1
GEO,RUS,32
IND,PAK,7
IDN,PRT,1
IRQ,KWT,1
IRQ,USA,1
GBR,IRL,34
ISR,JOR,4
ISR,LBN,2
KOS,SRB,23
YUG,KOS,1
TUR,IRQ,1
LBN,SYR,1
MKD,GRC,1
MDA,RUS,5
NAM,ZAF,4
KOR,PRK,4
YEM,SAU,2
SSD,SDN,45
SDN,UGA,1
